Name,Effector type,Action,Effector construct,dCas protein,Architecture,Organism,References,DOI link,Graph. Abstract link
,noncatalytic,activation,VP16,SpdCas9,Direct fusion (C),Human,"Michael Agne, et al. Modularized CRISPR/dCas9 Effector Toolkit for Target-Specific Gene Regulation (2024)",https://doi.org/10.1021/sb500035y,https://pubs.acs.org/cms/10.1021/sb500035y/asset/images/medium/sb-2014-00035y_0005.gif
,noncatalytic,activation,VP48,SpdCas9,Direct fusion (C),Human,"Albert W Cheng, et al. Multiplexed activation of endogenous genes by CRISPR-on, an RNA-guided transcriptional activator system (2013)",https://doi.org/10.1038/cr.2013.122,https://media.springernature.com/full/springer-static/image/art%3A10.1038%2Fcr.2013.122/MediaObjects/41422_2013_Article_BFcr2013122_Fig1_HTML.jpg?as=webp
,noncatalytic,activation,VP64,SpdCas9,"Direct fusion C, direct fusion N, N and C fusion","Human, Animal, Plant","1. Levi G. Lowder, et al. A CRISPR/Cas9 Toolbox for Multiplexed Plant Genome Editing and Transcriptional Regulation (2015); 
2. Nianan Luo, et al. Hepatic stellate cell reprogramming via exosome-mediated CRISPR/dCas9-VP64 delivery (2021);
3. Luke A Gilbert, et al. CRISPR-mediated modular RNA-guided regulation of transcription in eukaryotes (2013); 
4. Fahim Farzadfard, et al. Tunable and multifunctional eukaryotic transcription factors based on CRISPR/Cas (2013);
5. Morgan L Maeder, et al. CRISPR RNA–guided activation of endogenous human genes (2013); 
6. Bernd Zetsche, et al. A split-Cas9 architecture for inducible genome editing and transcription modulation (2015);
7. Marta Vazquez-Vilar, et al. A modular toolbox for gRNA–Cas9 genome engineering in plants based on the GoldenBraid standard. (2016)                                                                                                                                        ","https://doi.org/10.1104/pp.15.00636;
https://doi.org/10.1080/10717544.2020.1850917;
https://doi.org/10.1016/j.cell.2013.06.044;
https://doi.org/10.1021/sb400081r;
https://doi.org/10.1038/nmeth.2598;
https://doi.org/10.1038/nbt.3149;
https://doi.org/10.1186/s13007-016-0101-2","https://oup.silverchair-cdn.com/oup/backfile/Content_public/Journal/plphys/169/2/10.1104_pp.15.00636/3/plphys_v169_2_971_f1.jpeg?Expires=1748858495&Signature=zRypUKYFKyiYZgReR0fgPo9Vp2iSAlCAe-YrSyZ-lPw2uGolun4a8tJRjJI8ZiSxl0IvOKv2vs8~W9Zpczz2yA2F5M72Ob-t04xrPd5YwE0p7G~fidYkrVSx5DMn8t0whFu2R1yWbzFylhHxTow0mn7ZjmtTBIj8qqAn4kaxFqkJEXQ~LyXQezZi1qIZP7P0uXAxEt9HKO~MHERo3X51H2ROAwJmmJhttYctRFta1yEVmIB4PQeZbcHiqDgxMlmCly-XjWJivjBjhtmBhbU44V1lmW0ZbhUMeyWq6-NVLm9NF7fHxbE0tP6x3Cy~hI6NkzrVEy5pd2zsP8lU2M3tTA__&Key-Pair-Id=APKAIE5G5CRDK6RD3PGA ; 
https://www.tandfonline.com/cms/asset/b7b5db87-28b7-47c0-9ed2-59f40c07c9d5/idrd_a_1850917_f0001_c.jpg ; 
https://ars.els-cdn.com/content/image/1-s2.0-S009286741300826X-fx1.jpg ; 
https://pubs.acs.org/cms/10.1021/sb400081r/asset/images/medium/sb-2013-00081r_0007.gif ; 
https://media.springernature.com/lw685/springer-static/image/art%3A10.1038%2Fnmeth.2598/MediaObjects/41592_2013_Article_BFnmeth2598_Fig1_HTML.jpg ; 
https://media.springernature.com/lw685/springer-static/image/art%3A10.1038%2Fnbt.3149/MediaObjects/41587_2015_Article_BFnbt3149_Fig1_HTML.jpg ; 
https://media.springernature.com/lw685/springer-static/image/art%3A10.1186%2Fs13007-016-0101-2/MediaObjects/13007_2016_101_Fig1_HTML.gif
"
,noncatalytic,activation,VP64,SadCas9,Direct fusion (C),"Human, Animal","Cia-Hin Lau, et al. Targeted Transgene Activation in the Brain Tissue by Systemic Delivery of Engineered AAV1 Expressing CRISPRa (2019)",https://doi.org/10.1016/j.omtn.2019.04.015,https://ars.els-cdn.com/content/image/1-s2.0-S2162253119300885-fx1.jpg
,noncatalytic,activation,VP64,enAsdCas12,Direct fusion (C),Yeast,"1. Audrey L Griffith, et al. Optimization of Cas12a for multiplexed genome-scale transcriptional activation. (2023);
2. Lifang Yu, et al. Saccharomyces cerevisiae Synthetic Transcriptional Networks Harnessing dCas12a and Type V-A anti-CRISPR Proteins. (2021)","https://doi.org/10.1016/j.xgen.2023.100387; 
https://doi.org/10.1021/acssynbio.1c00006","https://ars.els-cdn.com/content/image/1-s2.0-S2666979X23001842-fx1.jpg; 
https://pubs.acs.org/cms/10.1021/acssynbio.1c00006/asset/images/medium/sb1c00006_0006.gif"
,noncatalytic,activation,VP64,LbdCas12a ,Direct fusion (C),Yeast,"Lifang Yu, et al. Saccharomyces cerevisiae Synthetic Transcriptional Networks Harnessing dCas12a and Type V-A anti-CRISPR Proteins. (2021)",https://doi.org/10.1021/acssynbio.1c00006,https://pubs.acs.org/cms/10.1021/acssynbio.1c00006/asset/images/medium/sb1c00006_0006.gif
,noncatalytic,"activation, no effect",VP64,MbdCas12a ,Direct fusion (C),Yeast,"Lifang Yu, et al. Saccharomyces cerevisiae Synthetic Transcriptional Networks Harnessing dCas12a and Type V-A anti-CRISPR Proteins. (2021)",https://doi.org/10.1021/acssynbio.1c00006,https://pubs.acs.org/cms/10.1021/acssynbio.1c00006/asset/images/medium/sb1c00006_0006.gif
,noncatalytic,activation,VP64,dCas12f (dCas14),Direct fusion (C),Human,"Do Yon Kim, et al. Efficient CRISPR editing with a hypercompact Cas12f1 and engineered guide RNAs delivered by adeno-associated virus. (2021)",https://doi.org/10.1038/s41587-021-01009-z,https://media.springernature.com/full/springer-static/image/art%3A10.1038%2Fs41587-021-01009-z/MediaObjects/41587_2021_1009_Fig1_HTML.png?as=webp
,noncatalytic,activation,VP64,FndCas12a,Direct fusion (C),Yeast,"Chunyu Liao, et al. Modular one-pot assembly of CRISPR arrays enables library generation and reveals factors influencing crRNA biogenesis. (2019)",https://doi.org/10.1038/s41467-019-10747-3,https://media.springernature.com/lw685/springer-static/image/art%3A10.1038%2Fs41467-019-10747-3/MediaObjects/41467_2019_10747_Fig1_HTML.png?as=webp
,"mixed 
(catalytic \ non-catalytic)",activation,VP64-p300,SpdCas9,"Direct fusion VP64 (N), direct fusion p300 (C)",Human,"Kohei Omachi, Comparative analysis of dCas9-VP64 variants and multiplexed guide RNAs mediating CRISPR activation. (2022)",https://doi.org/10.1371/journal.pone.0270008,https://journals.plos.org/plosone/article/figure/image?size=large&id=10.1371/journal.pone.0270008.g001
