Review section,Disease,Target gene,Action,Effector construct,Nucleic acids binding protein,Type of delivery ,Organism,References,DOI link,Graph. abstract link
3.1. Hereditary Disorders: Haploinsufficiency,Dravet syndrome,Scn1a,activation,VP64,dSpCas9,dual AAV9-based system (Cas+sg),mouse,"Colasante G, Lignani G, et al. dCas9-Based Scn1a Gene Activation Restores Inhibitory Interneuron Excitability and Attenuates Seizures in Dravet Syndrome Mice. (2020)",https://doi.org/10.1016/j.ymthe.2019.08.018,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/61d9/6952031/4180247add53/gr1.jpg
3.1. Hereditary Disorders: Haploinsufficiency,Dravet syndrome,Scn1a,activation,VPR,dSpCas9,AAV (sg),transgenic mice ,"Yamagata T, Raveau M, et aL. CRISPR/dCas9-based Scn1a gene activation in inhibitory neurons ameliorates epileptic and behavioral phenotypes of Dravet syndrome model mice. (2020)",https://doi.org/10.1016/j.nbd.2020.104954,https://ars.els-cdn.com/content/image/1-s2.0-S0969996120302291-gr1.jpg
3.1. Hereditary Disorders: Haploinsufficiency,Transcallosal discordance,Sema6a,activation,SunTag-VP64,dCas9,plasmid electroporation,mouse,"Peter, C.J., Saito, A., Hasegawa, Y. et al. In vivo epigenetic editing of Sema6a promoter reverses transcallosal dysconnectivity caused by C11orf46/Arl14ep risk gene. (2019)",https://doi.org/10.1038/s41467-019-12013-y,https://media.springernature.com/lw685/springer-static/image/art%3A10.1038%2Fs41467-019-12013-y/MediaObjects/41467_2019_12013_Fig1_HTML.png?
3.1. Hereditary Disorders: Haploinsufficiency,hereditary obesity,"Sim1, Mc4r +/−",activation,VP65,dSaCas9,dual rAAV-based system (Cas+sg),"Sim1+/− mice, Mc4r +/−","Navneet Matharu et al. ,CRISPR-mediated activation of a promoter or enhancer rescues obesity caused by haploinsufficiency. (2019)",https://doi.org/10.1126/science.aau0629,https://www.science.org/cms/10.1126/science.aau0629/asset/d2634b15-b408-4643-b39a-0d051ea89601/assets/graphic/363_aau0629_fa.jpeg
3.2. Hereditary Disorders: Imprinting,Angelman syndrome,Ube3a-ATS,repression,KRAB,ZFN,dual AAV vein injection,Ube3a deletion C57BL/6J males mice,"O'Geen H, Beitnere U, et al. Transcriptional reprogramming restores UBE3A brain-wide and rescues behavioral phenotypes in an Angelman syndrome mouse model. (2023)",https://doi.org/10.1016/j.ymthe.2023.01.013,https://www.cell.com/cms/10.1016/j.ymthe.2023.01.013/asset/c1cd7206-e72b-46d9-9627-18d010b2535a/main.assets/fx1_lrg.jpg
3.2. Hereditary Disorders: Imprinting,Angelman syndrome,Ube3a-ATS,repression,SunTag-DNMT3A-DNMT3L,dCas9,mRNA-sgRNA LNP ,"Ube3ap+/m-, dCas9-SDD or “AS-dCas-SDD” mice","Liu, Y., Lou, S., Li, J. et al. Epigenetic editing alleviates Angelman syndrome phenotype in mice by unsilencing paternal Ube3a. (2024)",https://doi.org/10.1038/s41421-024-00727-3,https://media.springernature.com/lw685/springer-static/image/art%3A10.1038%2Fs41421-024-00727-3/MediaObjects/41421_2024_727_Fig1_HTML.png
3.2. Hereditary Disorders: Imprinting,Angelman syndrome,Ube3a-ATS,repression,hfCas13x.1,hfCas13x.1,AAV-injection,Ube3a KO C57BL/6  male mice ,"Li J, Shen Z, Liu Y, et al. A high-fidelity RNA-targeting Cas13 restores paternal Ube3a expression and improves motor functions in Angelman syndrome mice. (2023)",https://doi.org/10.1016/j.ymthe.2023.02.015,https://www.cell.com/cms/10.1016/j.ymthe.2023.02.015/asset/8ab298eb-6acf-4c3a-a805-5081286639a7/main.assets/fx1_lrg.jpg
3.2. Hereditary Disorders: Imprinting,Prader-Willi syndrome,SNRPN ,activation,VP64-dCas9-VP64,dCas9,nucleofection,iPSC,"View ORCID ProfileJacob Goell, Jing Li, et al. Tailoring a CRISPR/Cas-based Epigenome Editor for Programmable Chromatin Acylation and Decreased Cytotoxicity. (2024)",https://doi.org/10.1101/2024.09.22.611000,https://www.biorxiv.org/content/biorxiv/early/2024/09/22/2024.09.22.611000/F1.large.jpg?width=800&height=600&carousel=1
3.2. Hereditary Disorders: Imprinting,Silver-Russell syndrome,H19 -DMR,repression,SunTag-Tet1,dCas9,"tetraploid complementation, transient expression in fertilized eggs, stable expression in fertilized eggs",mice,"Horii, T., Morita, S., Hino, S. et al. Successful generation of epigenetic disease model mice by targeted demethylation of the epigenome. (2020)",https://doi.org/10.1186/s13059-020-01991-8,https://media.springernature.com/lw685/springer-static/image/art%3A10.1186%2Fs13059-020-01991-8/MediaObjects/13059_2020_1991_Fig1_HTML.png
3.3. Hereditary Disorders: X-linked,Duchenne muscular dystrophy (DMD,folistatine,activation,SAM (with modifications),dCas9,dual AAV9,mice,"Liao HK, et al. In Vivo Target Gene Activation via CRISPR/Cas9-Mediated Trans-epigenetic Modulation. (2017)",https://doi.org/10.1016/j.cell.2017.10.025,https://www.cell.com/cms/10.1016/j.cell.2017.10.025/asset/4c90254e-38e4-422d-9f8d-31452ee22bba/main.assets/fx1_lrg.jpg
3.3. Hereditary Disorders: X-linked,Duchenne muscular dystrophy (DMD,UTRN,activation,VPR,dCasMINI,local injection or tail vein intravenous injection,DMD mice,"Wu, R., Li, P., Xiao, P. et al. Activation of endogenous full-length utrophin by MyoAAV-UA as a therapeutic approach for Duchenne muscular dystrophy. (2025)",https://doi.org/10.1038/s41467-025-57831-5,https://media.springernature.com/lw685/springer-static/image/art%3A10.1038%2Fs41467-025-57831-5/MediaObjects/41467_2025_57831_Fig1_HTML.png
3.3. Hereditary Disorders: X-linked,Martin-Bell syndrome,FMR1,activation,Tet1,dCas9,transduction of iPSC - mice transplantation,mice,"Liu XS, Wu H, Krzisch M, et al. Rescue of Fragile X Syndrome Neurons by DNA Methylation Editing of the FMR1 Gene. (2018)",https://doi.org/10.1016/j.cell.2018.01.012,https://www.cell.com/cms/10.1016/j.cell.2018.01.012/asset/4dd44dc5-acc5-4192-9014-54c0b261c42a/main.assets/fx1_lrg.jpg
3.3. Hereditary Disorders: X-linked,Rett syndrome,MeCP2,repression,Tet1,dCas9,lentiviral  transduction,hESC-derived neurones,Junming Qian et al. Multiplex epigenome editing of MECP2 to rescue Rett syndrome neurons. (2023),https://doi.org/10.1126/scitranslmed.add4666,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/acb5/11975455/a61d108717fc/nihms-2062637-f0001.jpg
3.3. Hereditary Disorders: X-linked,Rett syndrome,MeCP2,repression,CTCF,dCpf1,lentiviral  transduction,hESC-derived neurones,Junming Qian et al. Multiplex epigenome editing of MECP2 to rescue Rett syndrome neurons. (2023),https://doi.org/10.1126/scitranslmed.add4666,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/acb5/11975455/a61d108717fc/nihms-2062637-f0001.jpg
3.3. Hereditary Disorders: X-linked,neurodevelopmental disorder CDKL5 deficiency,CDKL5 ,activation,Tet1,dCas9,lentiviral  transduction,U87MG,"Julian A N M Halmai, et al. Artificial escape from XCI by DNA methylation editing of the CDKL5 gene. (2020)",https://doi.org/10.1093/nar/gkz1214,https://oup.silverchair-cdn.com/oup/backfile/Content_public/Journal/nar/48/5/10.1093_nar_gkz1214/1/m_gkz1214fig1.jpeg?Expires=1747980571&Signature=MBzyYQfWjX6Npm8bhTPvRXiPYkyNG~XVV-sQPDJcmlsAxyB5YOaw9-pXUSWKCx3eaSB78LYB60B0bDRMR6kmS3qeoiaL2OvaA89Kx~eQp4EZ-g~F8d9e3cecptK~GvCP9tCTe-ELimVw1YCEUAQlNw4xOkPBAqpBp~NdUMbUO-r2Jpw2i9A50edh3IR5qrh3wHvETs4N4EOEf6lN7ccfYfHvClyIst4l5ugZ3CSjCxyQAvXNfAWi5kMmE1q4coEIScC7VpcLQ4L5Wd7dUDlbRox6N6JxS~ShK6hvml40aSxjJs7gWjc8SG1fsv~u~8DybKsCnpKjbKN5fMEWpxCxLw__&Key-Pair-Id=APKAIE5G5CRDK6RD3PGA
3.4. Hereditary Disorders: Recessive Autosomal,Friedreich's ataxia,FXN,activation,VP64,TALE,Transfection,HEK293FT,"Tremblay JP, et al. Transcription activator-like effector proteins induce the expression of the frataxin gene. (2012)",https://doi.org/10.1089/hum.2012.034,
3.4. Hereditary Disorders: Recessive Autosomal,Friedreich's ataxia,FXN,activation,VP64,TALE,Nucleofection,Fibroblasts (GM04078) ,"Chapdelaine P, et al. A Potential New Therapeutic Approach for Friedreich Ataxia: Induction of Frataxin Expression With TALE Proteins. (2013)",https://doi.org/10.1038/mtna.2013.41,https://www.cell.com/cms/10.1038/mtna.2013.41/asset/94bfdb50-264a-4057-b0e2-6e4b33bab726/main.assets/gr1_lrg.jpg
